xml_name,image_name,image_path,image_stem,image_hash,width,height,box_count,primary_label,labels,is_duplicate,canonical_image_path
327.xml,327.jpg,dataset\images\327.jpg,327,c00e5e513d143858f26bfd39c4f9876ffd01c6bc081c10bd519ab4a39524b72c,500,334,2,crack,crack|crack,0,dataset\images\327.jpg
339.xml,339.jpg,dataset\images\339.jpg,339,1d04cff5063db245e01fbac31dca3ab87f9a6a4c89e88efd9fe54712a8281fb4,225,150,2,crack,pothole_water|crack,0,dataset\images\339.jpg
518.xml,518.jpg,dataset\images\raw\518.jpg,518,22ec7b588915cdf9fd4d24a0a8bcc0226380ae1e435c61fa561a83d1be3e13e5,512,512,1,crack,crack,0,dataset\images\raw\518.jpg
249.xml,249.jpg,dataset\images\249.jpg,249,ba8af945ec6bc8803931738b85c4dbcb846867ed3917c31b7b1535be1e5d582f,300,224,3,crack,pothole|damage|crack,0,dataset\images\249.jpg
378.xml,378.jpg,dataset\images\378.jpg,378,c3c5528c6bca7b261f45eef1279c0e6c333bae1c65f4bf7494a8b05a2df4352f,620,413,3,crack,pothole_water|crack|crack,0,dataset\images\378.jpg
232.xml,232.jpg,dataset\images\232.jpg,232,f54005d8b6938fb61d2ee93c35d403e50ae3c7401f93f9c52d82eddfb3c194d7,1200,800,2,crack,pothole|crack,0,dataset\images\232.jpg
451.xml,451.jpg,dataset\images\451.jpg,451,5094d5f9912c79581f42fcd948198e63231c683e9f7ab78f1e1ace71820f9c8b,1300,866,3,crack,damage|crack|crack,0,dataset\images\451.jpg
510.xml,510.jpg,dataset\images\raw\510.jpg,510,01e54330d7ae1414028cb040a124a5b96f876401b44725932ede7590a145e4ec,512,512,2,crack,crack|crack,0,dataset\images\raw\510.jpg
284.xml,284.jpg,dataset\images\284.jpg,284,87ed5ec930ab3eb22faf59cacd8e1f0adb85f900fb2a6978f4eb366b7c993e9c,620,410,2,crack,pothole_water|crack,0,dataset\images\284.jpg
136.xml,136.jpg,dataset\images\136.jpg,136,56eca8c727aeac02a97465591bc7d50ad9e45566451efb014fd181dea1e9b2f9,800,600,2,crack,pothole|crack,0,dataset\images\136.jpg
511.xml,511.jpg,dataset\images\raw\511.jpg,511,5aa12dc25d9a4037e66f37977534680ec6b41cc6306d049e0936759f1202625a,512,512,2,crack,crack|pothole_water,0,dataset\images\raw\511.jpg
149.xml,149.jpg,dataset\images\149.jpg,149,806f492031d1379d91b6710c409bb3589cabea7ae295e0edfbac8ee004cc4587,1000,666,3,crack,pothole|crack|crack,0,dataset\images\149.jpg
92.xml,92.jpg,dataset\images\92.jpg,92,bfe7011011fe93f9b6f9de8bb144beed827b13276519a691ed8230e910e37528,700,468,3,crack,pothole|crack|crack,0,dataset\images\92.jpg
389.xml,389.jpg,dataset\images\389.jpg,389,bfd5ec4ddcab06aaa0c4f4eb26826b20c5f757c749e71c64bdebe7cc04c8ee00,303,446,3,crack,pothole|crack|crack,0,dataset\images\389.jpg
280.xml,280.jpg,dataset\images\280.jpg,280,47e97b2c5c1ab08816032ae1ffb3cf74171bd417734dfa418ce91502861ff137,534,401,4,crack,pothole_water|crack|crack|crack,0,dataset\images\280.jpg
508.xml,508.jpg,dataset\images\raw\508.jpg,508,9c2e8effba71eeaf1542b647178fcb9d76d828f8f3965e270bff02d86f63fb7c,512,512,3,crack,crack|crack|crack,0,dataset\images\raw\508.jpg
415.xml,415.jpg,dataset\images\415.jpg,415,fe17030a40386c899daa869b60a9b240942bb213ce9864966f778a960b62a0de,800,400,3,crack,pothole_water|crack|crack,0,dataset\images\415.jpg
522.xml,522.jpg,dataset\images\raw\522.jpg,522,9b139ec958e45b903d34ed4981c316db9c42da3ff5a6e4ece7c18b6d6c17114e,512,512,1,crack,crack,0,dataset\images\raw\522.jpg
57.xml,57.jpg,dataset\images\57.jpg,57,11e21b98b29e45e25758a13d54f2defbb41381c519d86a28b25773d0f7a5d0bb,900,600,4,crack,pothole|crack|crack|crack,0,dataset\images\57.jpg
468.xml,468.jpg,dataset\images\468.jpg,468,d135e6df9818059ec75f3954cec9ef4e8c9029f5a8682ec526e95f2726a9e526,750,422,2,crack,damage|crack,0,dataset\images\468.jpg
285.xml,285.jpg,dataset\images\285.jpg,285,4c11cddce45a729f775f770109aadff096b79993e4fa1d65da9c23299ab0827a,200,150,3,crack,pothole|crack|crack,0,dataset\images\285.jpg
394.xml,394.jpg,dataset\images\394.jpg,394,0227b4a90540ecff8694a07efeb32d0226c583aebfb208dc0b69f5d74050ca50,800,363,1,crack,crack,0,dataset\images\394.jpg
335.xml,335.jpg,dataset\images\335.jpg,335,00cad77e63d5297b0e8407804ad03b396c8859db0f1ae0a6347feec8fbc7254e,420,315,3,crack,pothole|crack|crack,0,dataset\images\335.jpg
359.xml,359.jpg,dataset\images\359.jpg,359,e7c3d15218f069e80b6a9cb7dce7e7215ccd65747fa886953cae91e02c28a1eb,2000,1329,6,crack,damage|damage|pothole|crack|crack|crack,0,dataset\images\359.jpg
503.xml,503.jpg,dataset\images\raw\503.jpg,503,2d09975652374884727a4aceeb31d7ce30582bea018aff1ea803f13ffd35a4f4,512,512,2,crack,crack|damage,0,dataset\images\raw\503.jpg
61.xml,61.jpg,dataset\images\61.jpg,61,320b71f0fdc4b8cb6a593340059906ef4208e1ea7e856db2b6770ceb8a30d164,700,350,5,crack,pothole|crack|pothole|crack|crack,0,dataset\images\61.jpg
107.xml,107.jpg,dataset\images\107.jpg,107,e8fc34db16722273b19e1c72932411e6f9e396305341af2bec4403219c919fb7,3200,1680,3,crack,crack|pothole|damage,0,dataset\images\107.jpg
330.xml,330.jpg,dataset\images\330.jpg,330,75f6dfb21301b6ec54fd5d510d092a5b7ccb546e5dca048194ecc2de184ea61b,2800,1812,2,crack,pothole_water|crack,0,dataset\images\330.jpg
300.xml,300.jpg,dataset\images\300.jpg,300,3daf0242cd276d2a68034f6256c3c422834a1cf8e2935ac8351c1c431e03d1ec,800,532,2,crack,pothole_water|crack,0,dataset\images\300.jpg
88.xml,88.jpg,dataset\images\88.jpg,88,3dbb88b27840c066ca4c31c1e8c30b8a7a93c78bac915474ef867c5dce29e7ed,980,653,2,crack,pothole|crack,0,dataset\images\88.jpg
520.xml,520.jpg,dataset\images\raw\520.jpg,520,9fe3e3879deadacebbeabd49babf96ca3c1c797e94a469377b5cd9702e31a364,512,512,2,crack,crack|damage,0,dataset\images\raw\520.jpg
170.xml,170.jpg,dataset\images\170.jpg,170,bb262f1680c26319f2913f794aa6ee3493126e7a440ac02aed5a8ad390ba3f83,2996,1680,5,damage,damage|damage|damage|damage|damage,0,dataset\images\170.jpg
166.xml,166.jpg,dataset\images\166.jpg,166,5a8db762e4ca26d1dd8e6ccf5194c8292edcaabd9f4d06f669ea80e99a41f8c1,746,400,4,damage,damage|damage|damage|damage,0,dataset\images\166.jpg
478.xml,478.jpg,dataset\images\478.jpg,478,2c521be08aa9b184cc53ffe35b075446225d9b470fcfda292d727e40dcbdbece,700,400,4,damage,damage|damage|damage|damage,0,dataset\images\478.jpg
302.xml,302.jpg,dataset\images\302.jpg,302,87528e6b79eae33f82e4da362f02b575d94dedec04c3b319fac163de97d3fd24,1293,859,2,damage,pothole|damage,0,dataset\images\302.jpg
501.xml,501.jpg,dataset\images\raw\501.jpg,501,a9754681705e659d7ba568ce813d40029bf4bb8cdd24bca88df510cb94bd3b46,512,512,1,damage,damage,0,dataset\images\raw\501.jpg
